t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,severity
0.0084,0.0338,0.0734,0.0039,0.0033,0.0218,0.0144,0.0067,0.0237,0.0141,0.0565,0.0404,0.0478,0.0155,0.0317,0.0194,0.0951,0.4565,1.5097,3.8631,7.5931,11.4768,13.1996,11.5798,8.1376,4.463,2.4175,1.797,1.9031,2.2351,2.3116,2.1818,1.7379,1.2303,0.8337,0.4065,0.1978,0.1005,0.0855,0.0446,0.0123,0.0352,0.0784,0.0026,0.001,0.0011,0.0062,0.0046,0.0174,0.0165,100.0
0.0163,0.0214,0.0032,0.0076,0.0451,0.0795,0.0327,0.0374,0.0622,0.0103,0.0111,0.0422,0.0233,0.0333,0.0526,0.0281,0.0382,0.0217,0.0339,0.016,0.0156,0.0402,0.0351,0.0597,0.1968,0.6001,1.5621,3.5178,6.7103,10.6883,14.2945,16.1405,15.5126,13.7331,10.3335,7.3964,5.3206,3.9761,3.0233,2.2308,1.5945,1.0698,0.6481,0.4008,0.2483,0.1624,0.1,0.0301,0.0147,0.0226,100.0
0.0011,0.0331,0.0034,0.0045,0.0109,0.0017,0.0092,0.0513,0.0404,0.0223,0.0052,0.0057,0.0011,0.0125,0.0236,0.048,0.0786,0.217,0.4329,0.8676,1.4014,2.0018,2.4987,2.7296,2.5861,2.2105,1.6257,1.0549,0.6301,0.3613,0.2371,0.1681,0.1076,0.0948,0.0686,0.0762,0.0502,0.0551,0.0387,0.0378,0.0327,0.0819,0.0169,0.0072,0.027,0.022,0.018,0.0043,0.0773,0.0033,33.85
0.0211,0.001,0.0531,0.0188,0.0544,0.0212,0.0169,0.019,0.0292,0.0187,0.0471,0.0218,0.0074,0.0022,0.0186,0.0053,0.0401,0.0114,0.0183,0.0168,0.0326,0.0268,0.0271,0.0788,0.3869,1.1443,2.9081,5.6949,8.5531,9.7737,8.5464,6.2447,3.3274,1.4269,0.5523,0.2608,0.1423,0.0872,0.0741,0.0567,0.041,0.0298,0.0312,0.0499,0.0357,0.0121,0.0179,0.0468,0.0084,0.0328,96.56
0.008,0.0267,0.0025,0.032,0.0155,0.0423,0.069,0.0109,0.0134,0.0438,0.0485,0.0214,0.0376,0.0996,0.3204,0.7519,1.606,2.9078,4.4439,5.764,6.3228,5.7869,4.7112,3.0768,1.7216,0.8567,0.4009,0.1703,0.0825,0.0614,0.0415,0.0985,0.0383,0.0308,0.0303,0.0257,0.0261,0.0411,0.0468,0.0204,0.0275,0.0161,0.0181,0.0202,0.007,0.0462,0.047,0.0543,0.0187,0.0119,69.53
0.01,0.0198,0.0603,0.0053,0.0239,0.0414,0.022,0.0014,0.0567,0.0306,0.0706,0.2174,0.6253,1.3605,2.2603,3.1623,3.5839,3.2651,2.6786,1.6885,0.9716,0.5592,0.3507,0.2154,0.1266,0.0931,0.067,0.0581,0.0287,0.0107,0.0082,0.0388,0.0264,0.0124,0.0128,0.0016,0.0389,0.0061,0.0016,0.041,0.0225,0.0195,0.065,0.0093,0.0066,0.0075,0.0473,0.0029,0.0084,0.0182,39.33
0.0134,0.0058,0.0322,0.0308,0.004,0.021,0.036,0.0469,0.0238,0.0454,0.1802,0.4248,1.1042,2.3247,3.8793,5.3281,5.8758,5.3375,4.1836,2.6889,1.6343,1.16,1.076,1.1013,1.1132,1.027,0.9219,0.6918,0.4973,0.2987,0.1557,0.0848,0.0429,0.0259,0.044,0.0462,0.004,0.0344,0.0109,0.0142,0.0174,0.0137,0.0195,0.04,0.006,0.0214,0.0028,0.0433,0.0203,0.0541,68.45
0.0429,0.0038,0.0204,0.0252,0.0196,0.0134,0.0567,0.0136,0.0727,0.0475,0.0228,0.0236,0.0128,0.029,0.0014,0.0001,0.0348,0.0456,0.0285,0.016,0.0345,0.1092,0.3267,0.5849,1.0796,1.6682,2.1474,2.4167,2.2372,1.9356,1.3775,0.9225,0.5775,0.3529,0.2548,0.1831,0.1225,0.1,0.0657,0.0606,0.0342,0.0512,0.0139,0.0679,0.0249,0.0554,0.0085,0.0216,0.0161,0.0109,28.85
0.0157,0.0172,0.0007,0.0643,0.0518,0.0131,0.0011,0.0036,0.0184,0.0307,0.0077,0.0501,0.012,0.0194,0.0145,0.0472,0.0368,0.0439,0.0069,0.0336,0.0696,0.1336,0.5705,1.7324,3.9962,6.6262,7.87,6.8281,4.6855,2.6361,1.6093,1.2443,1.0288,0.7561,0.4869,0.2728,0.1211,0.0904,0.0442,0.0282,0.0352,0.0946,0.0415,0.0577,0.0151,0.0369,0.0414,0.0368,0.0156,0.0116,81.7
0.0143,0.0023,0.0385,0.0299,0.0148,0.0468,0.0133,0.0479,0.0407,0.0765,0.2462,0.7013,1.731,3.3219,5.4128,7.2733,7.9942,7.2502,5.8326,3.6146,1.8835,0.8647,0.3442,0.1637,0.0712,0.0431,0.0872,0.0465,0.0238,0.0394,0.0936,0.0674,0.0076,0.0356,0.0329,0.0196,0.0324,0.0193,0.0578,0.006,0.0067,0.0263,0.015,0.0046,0.011,0.0721,0.0018,0.0061,0.0315,0.0332,87.07
0.0192,0.0343,0.049,0.0344,0.0091,0.0226,0.0019,0.0099,0.0096,0.0127,0.0484,0.0136,0.0077,0.0312,0.0481,0.0909,0.2064,0.5442,1.1666,2.083,2.8747,3.2212,2.8858,2.1881,1.3454,0.7657,0.5033,0.4078,0.3913,0.3806,0.2558,0.1886,0.1281,0.0657,0.0347,0.0728,0.0316,0.0109,0.0757,0.0692,0.042,0.0496,0.0309,0.0733,0.0416,0.017,0.0179,0.0256,0.0228,0.0085,35.88
0.0019,0.0226,0.0084,0.0508,0.003,0.0297,0.0331,0.0054,0.0418,0.0275,0.0471,0.0297,0.0282,0.0295,0.0068,0.0166,0.0295,0.005,0.0471,0.0412,0.077,0.2207,0.4043,0.7807,1.3898,2.1398,2.9664,3.549,3.8162,3.6289,3.2296,2.4881,1.8097,1.3166,0.9835,0.8041,0.6778,0.5451,0.4133,0.3041,0.2142,0.1229,0.1011,0.0529,0.0238,0.0319,0.0672,0.0368,0.0098,0.0193,49.05
0.0056,0.0039,0.0013,0.0044,0.0289,0.0663,0.0167,0.0411,0.0026,0.0774,0.0241,0.0492,0.0503,0.0166,0.0171,0.0489,0.0114,0.0061,0.0175,0.0304,0.0195,0.0367,0.001,0.0233,0.0084,0.0562,0.06,0.2298,0.7079,1.5991,3.0485,4.4583,5.0772,4.4402,3.346,1.8768,0.9738,0.59,0.5569,0.6227,0.6205,0.5939,0.4236,0.2998,0.1751,0.1144,0.0708,0.0389,0.0459,0.0191,56.91
0.0043,0.0696,0.0118,0.0058,0.0093,0.004,0.0048,0.022,0.0314,0.0322,0.0645,0.118,0.1596,0.3293,0.6089,0.9072,1.3938,1.7394,2.0783,2.1724,2.0561,1.8596,1.3968,0.955,0.5923,0.3448,0.1953,0.084,0.059,0.0334,0.0362,0.0064,0.0041,0.0353,0.0162,0.0022,0.0256,0.0425,0.0173,0.0008,0.0397,0.0322,0.0093,0.0184,0.0057,0.0018,0.0159,0.0022,0.0146,0.002,23.7
0.0282,0.0043,0.0363,0.018,0.046,0.0371,0.0094,0.0597,0.0664,0.2218,0.6168,1.4096,2.7252,4.3574,5.7833,6.3512,5.7916,4.5669,2.8729,1.5408,0.745,0.2908,0.1404,0.0491,0.0581,0.0692,0.027,0.0306,0.023,0.0819,0.0194,0.014,0.046,0.0067,0.0013,0.018,0.0041,0.0295,0.0361,0.0049,0.001,0.0281,0.0134,0.0266,0.0052,0.0514,0.0412,0.0484,0.0441,0.0063,67.07
0.0312,0.0182,0.0548,0.0203,0.0146,0.0647,0.0182,0.0223,0.009,0.0392,0.0474,0.0035,0.0317,0.043,0.1019,0.2588,0.425,0.79,1.263,1.8106,2.2025,2.3632,2.193,1.9352,1.3807,0.9005,0.5113,0.2834,0.1484,0.1073,0.0826,0.0349,0.0264,0.0546,0.0284,0.0231,0.0725,0.0253,0.0327,0.0056,0.0112,0.0483,0.0172,0.0178,0.0335,0.012,0.026,0.032,0.0595,0.0621,26.28
0.0066,0.0083,0.0092,0.0245,0.0258,0.0175,0.005,0.0085,0.0075,0.0482,0.0147,0.022,0.0199,0.0352,0.0054,0.0389,0.012,0.0195,0.0159,0.0176,0.0371,0.0006,0.0093,0.0511,0.0072,0.0781,0.0171,0.0564,0.0683,0.3747,1.8607,5.7871,11.527,14.5991,11.7514,7.1756,3.6134,2.7394,2.984,3.0777,2.776,2.0647,1.3223,0.7019,0.3219,0.1398,0.0894,0.0571,0.0292,0.0315,100.0
0.0131,0.0217,0.0112,0.0518,0.012,0.0067,0.028,0.0426,0.0528,0.0458,0.0381,0.0182,0.0885,0.0807,0.2712,0.9004,2.1784,4.1145,6.0175,6.8406,5.999,4.3562,2.341,1.0304,0.3774,0.151,0.0858,0.067,0.0616,0.0267,0.062,0.0473,0.0154,0.0286,0.0612,0.0063,0.0065,0.0475,0.0204,0.0318,0.0564,0.0372,0.0179,0.0071,0.029,0.0113,0.0328,0.0566,0.0464,0.0147,68.0
0.0042,0.0531,0.0097,0.0044,0.014,0.0478,0.0154,0.016,0.0351,0.0862,0.0008,0.0532,0.0498,0.0137,0.0181,0.0141,0.03,0.0093,0.0238,0.0395,0.0113,0.0295,0.087,0.1679,0.3133,0.6058,1.0717,1.6815,2.4221,3.0897,3.6114,3.8495,3.7466,3.3236,2.6378,1.9163,1.2958,0.8462,0.5653,0.3401,0.2321,0.1758,0.1023,0.104,0.0562,0.0284,0.0657,0.0456,0.0285,0.0282,48.98
0.0345,0.0305,0.0019,0.0129,0.0208,0.0053,0.011,0.0248,0.0026,0.0323,0.0883,0.017,0.045,0.1396,0.2511,0.6115,1.3938,2.5053,3.9674,5.2231,5.8546,5.5156,4.6983,3.3747,2.249,1.4128,0.9323,0.5546,0.3296,0.1875,0.1404,0.0744,0.028,0.0208,0.1061,0.0165,0.0283,0.0172,0.0379,0.006,0.0452,0.0292,0.0213,0.0571,0.0331,0.014,0.0389,0.0024,0.0258,0.0147,65.64
0.0194,0.0314,0.0119,0.0178,0.0449,0.0544,0.159,0.2368,0.3915,0.7179,1.06,1.5135,1.9593,2.2582,2.3787,2.3084,2.0862,1.7147,1.2273,0.8507,0.5701,0.3898,0.2751,0.2044,0.1555,0.1567,0.1199,0.1006,0.0866,0.0354,0.0841,0.0307,0.0462,0.0047,0.0321,0.0162,0.0257,0.0167,0.0073,0.0111,0.0118,0.0277,0.0485,0.0097,0.0365,0.0456,0.03,0.0129,0.0121,0.0007,29.69
0.0097,0.0354,0.0356,0.0139,0.006,0.0085,0.0078,0.0177,0.0149,0.0298,0.0589,0.0804,0.3202,0.772,1.7597,3.3913,5.4326,7.2441,8.0242,7.4239,6.2724,4.2733,2.7356,1.8313,1.3959,1.0707,0.8702,0.6514,0.4165,0.3141,0.1611,0.0836,0.0341,0.0241,0.0123,0.0247,0.0151,0.0167,0.0087,0.0228,0.0189,0.0284,0.0328,0.0162,0.0244,0.0111,0.0552,0.0067,0.0105,0.0006,91.19
0.024,0.0485,0.0316,0.032,0.0285,0.0513,0.0031,0.0051,0.0033,0.0483,0.129,0.5358,1.9431,4.8133,8.3409,10.0752,8.5236,5.5888,2.8183,1.7205,1.5699,1.7678,1.8016,1.6787,1.368,0.9565,0.6031,0.314,0.1374,0.1042,0.0293,0.0342,0.0693,0.0077,0.0053,0.0176,0.0021,0.0514,0.0191,0.0061,0.0225,0.0397,0.0185,0.0012,0.0129,0.0208,0.0422,0.0025,0.0452,0.0228,100.0
0.0437,0.0093,0.0226,0.0096,0.0402,0.0563,0.0035,0.0048,0.0201,0.0064,0.0226,0.0101,0.0276,0.0534,0.0982,0.4245,1.1329,2.8636,5.8786,9.8413,13.5069,15.2669,14.4666,12.3567,9.2304,6.9923,5.8022,5.2499,4.7114,4.0107,3.1892,2.3549,1.5385,0.9252,0.5394,0.2638,0.1248,0.0609,0.0427,0.0151,0.0181,0.0354,0.044,0.0041,0.0014,0.0219,0.0074,0.0289,0.0089,0.0186,100.0
0.0343,0.0033,0.001,0.0062,0.0039,0.0565,0.0165,0.0028,0.0048,0.0308,0.038,0.026,0.0292,0.0137,0.0258,0.0884,0.1847,0.513,1.2472,2.3671,3.5219,3.9759,3.4888,2.4694,1.304,0.5695,0.2158,0.1187,0.068,0.067,0.0428,0.0422,0.0388,0.0167,0.0363,0.0087,0.0109,0.0246,0.0402,0.0425,0.0173,0.0066,0.0507,0.0243,0.0291,0.0486,0.0371,0.0178,0.0008,0.0084,39.44
0.0127,0.0142,0.0004,0.0164,0.0002,0.0131,0.0033,0.0027,0.0111,0.0078,0.048,0.0168,0.0089,0.0209,0.0101,0.0356,0.0126,0.0086,0.0303,0.0949,0.1552,0.3122,0.5681,1.083,1.757,2.5029,3.2884,3.9248,4.1272,3.9519,3.629,2.8197,2.0449,1.4455,0.9499,0.6674,0.4654,0.4086,0.2933,0.2759,0.1528,0.1314,0.1219,0.075,0.0365,0.0256,0.0091,0.0822,0.0465,0.0083,53.22
0.0326,0.0029,0.0092,0.0117,0.0081,0.0103,0.0186,0.0111,0.0113,0.0009,0.0338,0.0018,0.0545,0.0443,0.0551,0.1206,0.326,0.8343,1.786,3.2512,4.9279,6.4486,7.2308,6.9961,6.3262,4.8394,3.4694,2.3974,1.6328,1.0731,0.6693,0.4183,0.2268,0.1985,0.0795,0.0415,0.0243,0.029,0.0469,0.0387,0.0312,0.0185,0.0341,0.0453,0.0218,0.0283,0.0305,0.0169,0.0229,0.0164,85.24
0.013,0.024,0.0226,0.0357,0.0212,0.0105,0.0321,0.0008,0.0265,0.0049,0.0224,0.0203,0.0046,0.0253,0.0168,0.0887,0.1172,0.318,0.7778,1.4934,2.4081,3.2222,3.5198,3.2114,2.6437,1.7404,1.0482,0.6989,0.6436,0.6033,0.6213,0.5334,0.4355,0.3417,0.2255,0.1928,0.0564,0.0781,0.049,0.0129,0.0191,0.0274,0.0316,0.0162,0.0166,0.033,0.0837,0.0125,0.0158,0.0012,38.72
0.0208,0.0123,0.0158,0.0048,0.026,0.039,0.0197,0.0628,0.1834,0.4253,0.9156,1.6744,2.6863,3.7844,4.7262,5.1395,4.9524,4.3954,3.4299,2.5167,1.815,1.2848,0.9429,0.6808,0.4882,0.3409,0.2772,0.1237,0.1079,0.061,0.0448,0.0444,0.006,0.0075,0.0194,0.01,0.0188,0.0364,0.0044,0.0136,0.0001,0.0181,0.0434,0.0689,0.0165,0.0366,0.0153,0.0044,0.0136,0.0436,64.0
0.009,0.0187,0.0342,0.0312,0.0023,0.0201,0.0322,0.0466,0.0245,0.0113,0.0271,0.0261,0.0338,0.0357,0.0493,0.027,0.0194,0.0123,0.0384,0.1385,0.5364,1.6691,3.8048,6.1859,7.2812,6.2108,4.2834,2.3354,1.4094,1.4712,1.6908,1.7885,1.6073,1.1776,0.7284,0.3918,0.184,0.0782,0.0433,0.0234,0.0068,0.0246,0.021,0.013,0.019,0.0044,0.0475,0.0379,0.0446,0.0054,79.94
0.0052,0.0073,0.0067,0.0447,0.048,0.0249,0.0031,0.0493,0.0053,0.0501,0.0022,0.0148,0.0718,0.142,0.3886,0.9809,2.1458,3.8711,5.982,7.7688,8.6098,8.1825,7.2288,5.4295,3.9743,3.0606,2.4886,2.1108,1.7487,1.3183,0.9342,0.5979,0.3735,0.2516,0.1444,0.0531,0.0848,0.0135,0.014,0.0165,0.0096,0.0444,0.0688,0.0479,0.0442,0.0091,0.0137,0.0183,0.0485,0.0143,100.0
0.0409,0.0057,0.0199,0.0128,0.0006,0.0192,0.0146,0.0541,0.0058,0.0218,0.0399,0.0344,0.0396,0.1395,0.3082,0.7917,1.7277,3.2431,5.0192,6.5991,7.3163,6.9246,6.022,4.3918,3.0096,2.1423,1.5158,1.1425,0.8567,0.6088,0.3861,0.2467,0.1644,0.106,0.0483,0.07,0.0367,0.0238,0.0255,0.0602,0.0275,0.0369,0.0223,0.0007,0.0288,0.0123,0.0207,0.0032,0.0176,0.0593,83.82
0.0485,0.0031,0.027,0.0399,0.0057,0.0277,0.0038,0.0454,0.0437,0.0014,0.0429,0.0341,0.1114,0.2742,0.7585,1.496,2.7614,4.2847,5.6464,6.2751,5.9572,5.1071,3.8116,2.6481,1.8884,1.4024,1.0954,0.8475,0.6302,0.4187,0.2984,0.1899,0.1075,0.0803,0.0435,0.0261,0.0586,0.0245,0.0387,0.0315,0.0155,0.0151,0.0245,0.0083,0.0185,0.0431,0.0525,0.0296,0.0028,0.0244,73.55
0.0157,0.0126,0.0422,0.0204,0.0488,0.0459,0.0777,0.1498,0.3551,0.818,1.5284,2.3762,3.3689,4.1828,4.5147,4.2235,3.7387,2.718,1.8734,1.2973,0.9772,0.8512,0.7736,0.6965,0.6072,0.4589,0.339,0.2173,0.17,0.0647,0.0523,0.0479,0.0186,0.0242,0.0273,0.0099,0.0029,0.0461,0.0111,0.027,0.0175,0.0152,0.0016,0.0003,0.0199,0.021,0.0127,0.0148,0.0158,0.0646,57.74
0.0144,0.0259,0.0208,0.0118,0.0318,0.0185,0.0205,0.0411,0.0368,0.0095,0.0166,0.0215,0.1011,0.1314,0.2978,0.5775,1.0156,1.6069,2.3114,3.0455,3.5405,3.7703,3.5579,3.2267,2.4455,1.7057,1.065,0.6224,0.3554,0.2055,0.092,0.083,0.0383,0.0253,0.0417,0.0385,0.0179,0.0073,0.0056,0.0263,0.0097,0.0299,0.0284,0.0324,0.0564,0.0287,0.0455,0.02,0.0029,0.0438,44.72
0.0301,0.0062,0.0021,0.0217,0.0053,0.0164,0.0081,0.0502,0.0402,0.039,0.0249,0.0243,0.0344,0.0246,0.0461,0.0337,0.0275,0.0306,0.0085,0.0183,0.0175,0.0385,0.1256,0.2714,0.62,1.2504,2.3077,3.7781,5.2868,6.521,7.0226,6.6858,5.9878,4.4994,3.1488,2.1148,1.4961,1.149,0.9496,0.7914,0.6707,0.5187,0.4219,0.3123,0.2113,0.1434,0.0815,0.0487,0.0258,0.0181,86.34
0.0235,0.0207,0.0275,0.025,0.002,0.0215,0.0205,0.0446,0.0174,0.0072,0.015,0.0142,0.0023,0.0223,0.0145,0.0371,0.0261,0.0267,0.0232,0.0031,0.0314,0.0566,0.2221,0.657,1.5006,3.0808,5.1194,7.058,7.9801,7.5606,6.3708,4.5914,3.2325,2.4347,1.9478,1.5394,1.1837,0.8613,0.5619,0.3348,0.1877,0.1559,0.0502,0.046,0.0285,0.0516,0.0433,0.0284,0.0114,0.0107,94.97
0.0102,0.0171,0.029,0.0099,0.0184,0.0326,0.0248,0.0885,0.0373,0.0405,0.0397,0.0147,0.0184,0.0286,0.0669,0.237,0.7537,1.924,4.0863,6.8192,9.3815,10.4336,9.5687,7.4817,4.979,3.3778,2.7615,2.7264,2.7316,2.5074,1.9421,1.2898,0.7585,0.3778,0.1845,0.0755,0.0347,0.042,0.0354,0.043,0.0059,0.0246,0.0403,0.0085,0.0108,0.074,0.0139,0.042,0.0175,0.0311,100.0
0.0476,0.0564,0.0561,0.0117,0.026,0.016,0.0791,0.0001,0.0098,0.0277,0.0304,0.0026,0.0278,0.0077,0.0269,0.0122,0.0299,0.0199,0.031,0.0583,0.3338,1.4691,4.0409,7.5289,9.3743,7.7112,4.8986,2.8036,2.3131,2.3428,1.9056,1.1873,0.5478,0.2373,0.1022,0.0495,0.0587,0.0199,0.0343,0.0096,0.0429,0.018,0.0045,0.0041,0.0273,0.0688,0.0192,0.0071,0.0366,0.0152,94.28
0.0186,0.0191,0.0357,0.0187,0.0055,0.0181,0.0662,0.0269,0.0382,0.0195,0.0341,0.006,0.0002,0.018,0.0201,0.022,0.0025,0.0142,0.0463,0.0333,0.0711,0.1573,0.463,0.9656,1.8271,2.8799,3.7484,4.0955,3.7419,2.9315,1.8759,1.0027,0.4611,0.228,0.0955,0.0293,0.039,0.0373,0.0162,0.0573,0.0087,0.027,0.0207,0.0335,0.0241,0.0115,0.0425,0.0007,0.0272,0.0273,46.54
0.0153,0.0309,0.0197,0.0256,0.0328,0.0267,0.0052,0.0166,0.0353,0.0269,0.0179,0.0285,0.0139,0.041,0.0254,0.037,0.0166,0.0188,0.0209,0.0175,0.0078,0.0162,0.0303,0.0591,0.0124,0.059,0.0619,0.2347,0.7019,1.6133,2.9664,4.2888,4.8319,4.2763,3.251,1.8633,0.8662,0.3682,0.1831,0.0904,0.0571,0.0453,0.0412,0.0666,0.0505,0.0531,0.0291,0.0478,0.0176,0.0373,53.23
0.0307,0.0075,0.0314,0.0043,0.0007,0.0105,0.0469,0.0246,0.046,0.015,0.042,0.011,0.063,0.0188,0.0266,0.0178,0.0037,0.0586,0.0152,0.0318,0.0445,0.0589,0.0003,0.0321,0.0547,0.1116,0.4324,1.513,3.9904,7.9616,12.1336,14.0168,12.2357,8.9306,5.1549,3.2021,2.742,2.932,3.0437,2.7405,2.1231,1.4489,0.7708,0.372,0.1906,0.0762,0.0358,0.0696,0.0587,0.0224,100.0
